category,bedrooms,bathrooms,floor_area,condition,amenities,parking_space,lat,lng,amenities_count,furnishing,price,log1p_price
Flats,3.0,4.0,753.0,New,"24-hour Electricity,Air Conditioning,Apartment,Balcony,Chandelier,Dining Area,Dishwasher,Hot Water,Kitchen Cabinets,Kitchen Shelf,Microwave,Pop Ceiling,Pre-Paid Meter,Refrigerator,Tiled Floor,TV,Wardrobe,Wi-Fi",0,5.5459415,-0.2103988,18,Semi-Furnished,7000,8.853808274977197
Detached,4.0,5.0,150.0,New,"24-hour Electricity,Air Conditioning,Balcony,Chandelier,Dining Area,Hot Water,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Pre-Paid Meter,Tiled Floor,Wardrobe",0,5.7141674,-0.15418,12,Semi-Furnished,9100,9.116139576577355
Flats,3.0,3.0,4000.0,Used,"24-hour Electricity,Apartment,Balcony,Dining Area,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Pre-Paid Meter,Tiled Floor,Wardrobe",0,5.7443822,-0.1718669,10,Unfurnished,3000,8.006700845440367
Flats,2.0,3.0,2000.0,New,"Apartment,Balcony,TV,Kitchen Shelf,Kitchen Cabinets,Pre-Paid Meter,Wardrobe,Dishwasher,Pop Ceiling,Dining Area,Air Conditioning,24-hour Electricity",0,5.6376136,-0.1266064,12,Semi-Furnished,2500,7.824445930877619
Flats,2.0,2.0,17.0,Used,"24-hour Electricity,Apartment,Dishwasher,Pop Ceiling,Pre-Paid Meter,Tiled Floor,Kitchen Cabinets,Balcony",0,5.6195093,-0.0919460999999999,8,Unfurnished,1500,7.313886831633462
Flats,1.0,1.0,100.0,New,"24-hour Electricity,Air Conditioning,Apartment,Balcony,Chandelier,Dining Area,Hot Water,Kitchen Cabinets,Kitchen Shelf,Microwave,Pop Ceiling,Pre-Paid Meter,Refrigerator,Tiled Floor,Wardrobe,Wi-Fi",0,5.5862504,-0.1394584,16,Semi-Furnished,8800,9.082620630373812
Townhouse,4.0,5.0,200.0,Used,"24-hour Electricity,Air Conditioning,Apartment,Balcony,Chandelier,Dining Area,Dishwasher,Hot Water,Kitchen Cabinets,Kitchen Shelf,Microwave,Pop Ceiling,Pre-Paid Meter,Refrigerator,Tiled Floor,TV,Wardrobe,Wi-Fi",0,5.5862504,-0.1394584,18,Furnished,22000,9.99884318585288
Flats,2.0,2.0,14.0,New,"24-hour Electricity,Balcony,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Pre-Paid Meter,Tiled Floor",0,5.6358281,-0.1613592,7,Unfurnished,2300,7.741099090035366
Flats,2.0,3.0,110.0,Used,"24-hour Electricity,Air Conditioning,Apartment,Balcony,Chandelier,Dining Area,Dishwasher,Hot Water,Kitchen Cabinets,Kitchen Shelf,Microwave,Pop Ceiling,Pre-Paid Meter,Refrigerator,Tiled Floor,TV,Wardrobe,Wi-Fi",0,5.6358281,-0.1613592,18,Furnished,36000,10.491301994830229
Detached,4.0,5.0,1320.0,New,"24-hour Electricity,Dining Area,Pop Ceiling,Pre-Paid Meter,Tiled Floor",0,5.5117764,-0.3348372,5,Semi-Furnished,4000,8.294299608857235
Flats,2.0,3.0,100.0,New,"24-hour Electricity,Air Conditioning,Apartment,Chandelier,Dining Area,Hot Water,Kitchen Cabinets,Kitchen Shelf,Microwave,Pop Ceiling",0,5.6358281,-0.1613592,10,Unfurnished,4500,8.412054873292933
Flats,2.0,1.0,100.0,New,"24-hour Electricity,Balcony,Chandelier,Dishwasher,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Pre-Paid Meter,Tiled Floor",0,6.6932173,-1.627507,9,Unfurnished,1000,6.90875477931522
Flats,2.0,1.0,20.0,New,"24-hour Electricity,Apartment,Kitchen Cabinets,Pop Ceiling,Pre-Paid Meter,Tiled Floor",0,5.6562651,-0.2338473,6,Unfurnished,2000,7.601402334583733
Duplex,4.0,5.0,1244.0,Used,"Kitchen Shelf,Refrigerator,Microwave",0,5.6274508,-0.0872742,3,Unfurnished,7000,8.853808274977197
Flats,2.0,2.0,1000.0,New,"24-hour Electricity,Air Conditioning,Apartment,Balcony,Dining Area,Chandelier,Dishwasher,Kitchen Cabinets,Pop Ceiling,Pre-Paid Meter,Tiled Floor,Wardrobe",0,5.7141674,-0.15418,12,Unfurnished,2000,7.601402334583733
Flats,1.0,1.0,100.0,Used,"24-hour Electricity,Kitchen Shelf,Pre-Paid Meter,Tiled Floor",0,5.5831665,-0.1046082,4,Unfurnished,500,6.2166061010848646
Duplex,4.0,5.0,56.0,New,"24-hour Electricity,Air Conditioning,Apartment,Balcony,Chandelier,Dining Area,Dishwasher,Hot Water,Kitchen Cabinets,Microwave,Pop Ceiling,Pre-Paid Meter,Refrigerator,Tiled Floor",0,5.5958462,-0.1518394,14,Semi-Furnished,30000,10.308985993422082
Flats,2.0,3.0,100.0,New,"24-hour Electricity,Apartment,Balcony,Chandelier,Dining Area,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Pre-Paid Meter,Tiled Floor",0,5.5117764,-0.3348372,10,Unfurnished,1500,7.313886831633462
Flats,3.0,3.0,100.0,Used,"24-hour Electricity,Air Conditioning,Apartment,Balcony,Chandelier,Dining Area,Kitchen Cabinets,Pop Ceiling",0,5.6619606,-0.1290806,8,Unfurnished,5000,8.517393171418904
Flats,3.0,3.0,600.0,Used,"Pop Ceiling,Tiled Floor,24-hour Electricity,Kitchen Shelf,Pre-Paid Meter,Air Conditioning,Kitchen Cabinets,Dining Area,Wardrobe,Balcony,Apartment",0,5.6887241,-0.2270226,11,Semi-Furnished,1400,7.244941546337007
Detached,4.0,5.0,150.0,New,"24-hour Electricity,Apartment,Balcony,Dining Area,Hot Water,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Pre-Paid Meter,Tiled Floor",0,5.7062137,-0.3019281,10,Semi-Furnished,3700,8.216358332386156
Flats,1.0,1.0,100.0,Used,"24-hour Electricity,Air Conditioning,Apartment,Balcony,Chandelier,Dining Area,Dishwasher,Hot Water,Kitchen Cabinets,Kitchen Shelf,Microwave,Pop Ceiling,Pre-Paid Meter,Refrigerator,Tiled Floor,TV,Wardrobe,Wi-Fi",0,5.6358281,-0.1613592,18,Furnished,11000,9.305741456739435
Detached,5.0,4.0,1205.0,Used,"Air Conditioning,Chandelier,Dining Area,Dishwasher,Hot Water,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Pre-Paid Meter,Tiled Floor,Wardrobe,Balcony",0,5.6802129,-0.1372479,12,Semi-Furnished,10000,9.210440366976517
Flats,2.0,2.0,102.0,New,"24-hour Electricity,Kitchen Cabinets,Pop Ceiling,Tiled Floor,Apartment",0,5.7556353,-0.1738945,5,Unfurnished,2500,7.824445930877619
Flats,1.0,1.0,14.0,Used,"24-hour Electricity,Apartment,Kitchen Shelf",0,5.6663422,-0.2522717,3,Unfurnished,600,6.398594934535208
Flats,1.0,1.0,56.0,Used,"24-hour Electricity,Air Conditioning,Apartment,Balcony,Chandelier,Dining Area,Dishwasher,Hot Water,Kitchen Cabinets,Kitchen Shelf,Microwave,Pop Ceiling,Pre-Paid Meter,Refrigerator,Tiled Floor,TV,Wardrobe,Wi-Fi",0,5.5570305,-0.1762717,18,Furnished,10600,9.268703615273097
Flats,1.0,1.0,90.0,Used,"24-hour Electricity,Balcony,Kitchen Cabinets,Pop Ceiling,Pre-Paid Meter,Tiled Floor",0,5.6563118,-0.0093265999999999,6,Unfurnished,800,6.68586094706836
Flats,1.0,1.0,12.0,New,"24-hour Electricity,Air Conditioning,Balcony,Hot Water,Kitchen Cabinets,Microwave,Pop Ceiling,Pre-Paid Meter,Refrigerator,Tiled Floor,TV,Wardrobe,Wi-Fi",0,5.6619606,-0.1290806,13,Furnished,8000,8.987321812850125
Flats,2.0,1.0,21.0,Used,24-hour Electricity,0,5.5459415,-0.2103988,1,Unfurnished,1000,6.90875477931522
Flats,2.0,1.0,900.0,Used,"Apartment,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Tiled Floor,Pre-Paid Meter,24-hour Electricity",0,6.6932173,-1.627507,7,Furnished,1000,6.90875477931522
Flats,1.0,1.0,100.0,New,"24-hour Electricity,Tiled Floor,Pre-Paid Meter,Pop Ceiling,Kitchen Cabinets,Hot Water,Dishwasher,Apartment",0,5.606104699999999,-0.1860362,8,Unfurnished,2000,7.601402334583733
Flats,3.0,2.0,1111.0,Used,"Air Conditioning,Apartment,Balcony,Chandelier,Dining Area,Dishwasher,Hot Water,Kitchen Cabinets,Kitchen Shelf,Microwave,Pop Ceiling,Pre-Paid Meter,Refrigerator,Tiled Floor,TV,Wardrobe",0,5.586297300000001,-0.2419606,16,Furnished,19200,9.862717639992917
Flats,2.0,2.0,90.0,New,"24-hour Electricity,Air Conditioning,Apartment,Balcony,Chandelier,Dining Area,Dishwasher,Hot Water,Kitchen Cabinets,Kitchen Shelf,Microwave,Pop Ceiling,Pre-Paid Meter,Refrigerator,Tiled Floor,TV,Wardrobe,Wi-Fi",0,5.6358281,-0.1613592,18,Furnished,39000,10.571342565808699
Mansion,7.0,5.0,400.0,Used,"24-hour Electricity,Apartment,Balcony,Dining Area,Kitchen Cabinets,Kitchen Shelf,Pre-Paid Meter,Tiled Floor,Wardrobe",0,5.6376136,-0.1266064,9,Unfurnished,10000,9.210440366976517
Duplex,5.0,6.0,234.0,Used,"24-hour Electricity,Air Conditioning,Apartment,Balcony,Chandelier,Dining Area,Dishwasher,Hot Water,Kitchen Cabinets,Kitchen Shelf,Microwave,Pop Ceiling,Pre-Paid Meter,Refrigerator,Tiled Floor,TV,Wardrobe",0,5.5459415,-0.2103988,17,Unfurnished,7000,8.853808274977197
Detached,3.0,3.0,10.0,Used,"Dining Area,Pre-Paid Meter,Tiled Floor,Wardrobe",0,5.6844172,-0.2537157,4,Unfurnished,6000,8.699681400989514
Semi-Detached,2.0,2.0,70.0,New,"24-hour Electricity,Apartment,Balcony,Dining Area,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Pre-Paid Meter,Tiled Floor,Wardrobe",0,6.6932173,-1.627507,10,Unfurnished,1500,7.313886831633462
Flats,1.0,1.0,122.0,New,"24-hour Electricity,Air Conditioning,Apartment,Chandelier,Dining Area,Hot Water,Kitchen Cabinets,Kitchen Shelf,Microwave,Pop Ceiling,Pre-Paid Meter,Refrigerator,Tiled Floor,TV,Wardrobe",0,5.6495001,-0.2100343,15,Furnished,9000,9.105090961257085
Flats,2.0,2.0,655.0,Used,"24-hour Electricity,Air Conditioning,Apartment,Balcony,Dining Area,Chandelier,Dishwasher,Hot Water,Kitchen Cabinets,Kitchen Shelf,Microwave,Pop Ceiling,Pre-Paid Meter,Refrigerator,Tiled Floor,TV,Wardrobe,Wi-Fi",0,5.6358281,-0.1613592,18,Furnished,15000,9.61587214452889
Flats,2.0,2.0,540.0,Used,"24-hour Electricity,Air Conditioning,Apartment,Dining Area,Dishwasher,Hot Water,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Pre-Paid Meter,Tiled Floor",0,5.6802129,-0.1372479,11,Unfurnished,4000,8.294299608857235
Semi-Detached,4.0,3.0,600.0,Used,"24-hour Electricity,Apartment,Balcony,Dining Area,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Pre-Paid Meter,Tiled Floor,Wardrobe",0,5.7141674,-0.15418,10,Semi-Furnished,3000,8.006700845440367
Townhouse,2.0,3.0,200.0,New,"24-hour Electricity,Air Conditioning,Balcony,Chandelier,Dining Area,Dishwasher,Hot Water,Kitchen Cabinets,Kitchen Shelf,Microwave,Pop Ceiling,Pre-Paid Meter,Refrigerator,Tiled Floor,Wardrobe",0,5.6376136,-0.1266064,15,Semi-Furnished,15600,9.65509029374725
Flats,2.0,2.0,1000.0,New,"24-hour Electricity,Apartment,Balcony,Chandelier,Dining Area,Kitchen Cabinets,Pop Ceiling,Pre-Paid Meter,Refrigerator,Tiled Floor",0,5.6802129,-0.1372479,10,Unfurnished,1500,7.313886831633462
Flats,1.0,1.0,200.0,New,"24-hour Electricity,Apartment,Pre-Paid Meter,Tiled Floor",0,5.6731273,-0.1663851,4,Unfurnished,1000,6.90875477931522
Flats,2.0,2.0,155.0,Used,"Air Conditioning,Apartment,Balcony,Hot Water,Kitchen Cabinets,Pop Ceiling,Pre-Paid Meter,Tiled Floor,Wardrobe",0,5.5513273,-0.3298248,9,Unfurnished,2000,7.601402334583733
Flats,2.0,1.0,659.0,New,24-hour Electricity,0,5.6562651,-0.2338473,1,Unfurnished,1800,7.496097345175956
Detached,5.0,5.0,100.0,Used,"Kitchen Cabinets,Pop Ceiling,Tiled Floor,Wardrobe,Balcony",0,5.5459415,-0.2103988,5,Unfurnished,13442,9.506213803454253
Flats,2.0,3.0,5000.0,New,"24-hour Electricity,Air Conditioning,Apartment,Balcony,Chandelier,Dining Area,Dishwasher,Hot Water,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Pre-Paid Meter,Tiled Floor,Wardrobe,Wi-Fi",0,5.606104699999999,-0.1860362,15,Semi-Furnished,7150,8.875007486048396
Flats,3.0,2.0,100.0,Used,"24-hour Electricity,Air Conditioning,Apartment,Balcony,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Pre-Paid Meter,Tiled Floor",0,5.7141674,-0.15418,9,Unfurnished,3000,8.006700845440367
Flats,1.0,1.0,200.0,New,"24-hour Electricity,Apartment,Balcony,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Refrigerator,Tiled Floor",0,5.7141674,-0.15418,8,Unfurnished,1200,7.0909098220799835
Detached,4.0,4.0,900.0,New,"24-hour Electricity,Air Conditioning,Balcony,Chandelier,Dishwasher,Hot Water,Kitchen Cabinets,Kitchen Shelf,Microwave,Pop Ceiling,Pre-Paid Meter,Tiled Floor",0,5.6358281,-0.1613592,12,Semi-Furnished,15000,9.61587214452889
Detached,6.0,5.0,100.0,Used,"24-hour Electricity,Apartment,Balcony,Dining Area,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Pre-Paid Meter,Tiled Floor,Wardrobe",0,6.6932173,-1.627507,10,Unfurnished,7000,8.853808274977197
Flats,1.0,1.0,111.0,New,"Balcony,Hot Water,Tiled Floor,Pre-Paid Meter,24-hour Electricity",0,5.606104699999999,-0.1860362,5,Unfurnished,1500,7.313886831633462
Detached,5.0,4.0,100.0,Used,"24-hour Electricity,Air Conditioning,Balcony,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Pre-Paid Meter,Tiled Floor,Dining Area,Dishwasher,Hot Water",0,5.605703399999999,-0.2353967,11,Unfurnished,25500,10.146472946063877
Detached,3.0,3.0,600.0,New,"24-hour Electricity,Apartment,Kitchen Cabinets,Kitchen Shelf,Pre-Paid Meter,Tiled Floor",0,5.7556353,-0.1738945,6,Semi-Furnished,1800,7.496097345175956
Flats,2.0,3.0,200.0,New,"Air Conditioning,Apartment,Chandelier,Dining Area,Hot Water,Kitchen Cabinets,Pop Ceiling,Pre-Paid Meter,Tiled Floor",0,5.6802129,-0.1372479,9,Semi-Furnished,5000,8.517393171418904
Flats,1.0,1.0,40.0,Used,"24-hour Electricity,Apartment,Kitchen Cabinets,Microwave,Pop Ceiling,Pre-Paid Meter,Tiled Floor",0,5.6376136,-0.1266064,7,Unfurnished,1700,7.438971592395862
Detached,3.0,4.0,100.0,New,"Air Conditioning,Balcony,Chandelier,Dining Area,Dishwasher,Hot Water,Kitchen Cabinets,Kitchen Shelf,Microwave,Pop Ceiling,Pre-Paid Meter,Refrigerator,Tiled Floor,Wardrobe,TV,Wi-Fi",0,5.6358281,-0.1613592,16,Furnished,46950,10.75685978366411
Flats,1.0,1.0,17.0,Used,"Pre-Paid Meter,24-hour Electricity,Pop Ceiling,Tiled Floor,Dishwasher,Kitchen Cabinets,Apartment",0,5.5831665,-0.1046082,7,Semi-Furnished,900,6.803505257608338
Flats,1.0,1.0,1000.0,New,"24-hour Electricity,Apartment,Balcony,Chandelier,Kitchen Cabinets,Pop Ceiling,Pre-Paid Meter,Tiled Floor,Wardrobe",0,5.6495001,-0.2100343,9,Unfurnished,1000,6.90875477931522
Flats,1.0,1.0,100.0,Used,"24-hour Electricity,Air Conditioning,Balcony,Chandelier,Dining Area,Hot Water,Kitchen Cabinets,Kitchen Shelf,Microwave,Pop Ceiling,Pre-Paid Meter,Refrigerator,Tiled Floor,TV,Wardrobe,Wi-Fi",0,5.5862504,-0.1394584,16,Furnished,10000,9.210440366976517
Flats,1.0,1.0,1000.0,Used,"24-hour Electricity,Air Conditioning,Apartment,Balcony,Dining Area,Dishwasher,Hot Water,Kitchen Cabinets,Kitchen Shelf,Microwave,Pop Ceiling,Pre-Paid Meter,Refrigerator,Tiled Floor,TV",0,5.6439894,-0.1485298,15,Furnished,19200,9.862717639992917
Flats,1.0,1.0,15.0,New,"24-hour Electricity,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Tiled Floor,Apartment,Pre-Paid Meter,Hot Water,Air Conditioning",0,5.5831665,-0.1046082,9,Semi-Furnished,1400,7.244941546337007
Flats,2.0,1.0,10.0,New,"Apartment,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Pre-Paid Meter,Tiled Floor,Wardrobe",0,5.5344155,-0.4252737,7,Unfurnished,850,6.7464121285733745
Detached,4.0,4.0,900.0,New,"24-hour Electricity,Air Conditioning,Balcony,Chandelier,Dining Area,Hot Water,Kitchen Cabinets,Microwave,Pop Ceiling,Pre-Paid Meter,Tiled Floor,Wardrobe,Refrigerator",0,5.605703399999999,-0.2353967,13,Semi-Furnished,22500,10.021315031649332
Flats,1.0,2.0,100.0,New,"24-hour Electricity,Air Conditioning,Apartment,Balcony,Hot Water,Kitchen Cabinets,Pop Ceiling,Pre-Paid Meter,Tiled Floor,Wardrobe",0,5.605703399999999,-0.2353967,10,Semi-Furnished,2000,7.601402334583733
Duplex,4.0,5.0,18.0,Renovated,"24-hour Electricity,Air Conditioning,Balcony,Dining Area,Kitchen Cabinets,Pop Ceiling,Pre-Paid Meter,Tiled Floor,Wardrobe",0,5.6510376,-0.1354586,9,Unfurnished,7440,8.914760527397261
Detached,5.0,5.0,758.0,New,"24-hour Electricity,Air Conditioning,Apartment,Balcony,Chandelier,Dining Area,Hot Water,Kitchen Cabinets,Kitchen Shelf,Microwave,Pop Ceiling,Pre-Paid Meter,Refrigerator,Tiled Floor,Wardrobe",0,5.6825806,-0.1916501,15,Semi-Furnished,16000,9.680406499268875
Flats,2.0,1.0,145.0,Used,"24-hour Electricity,Air Conditioning,Chandelier,Dining Area,Hot Water,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Pre-Paid Meter,Tiled Floor,Wardrobe",0,5.6358281,-0.1613592,11,Semi-Furnished,3989,8.29154650988391
Detached,3.0,4.0,100.0,Used,"Wardrobe,Air Conditioning,Kitchen Cabinets,Pre-Paid Meter,Tiled Floor,Pop Ceiling,Dishwasher,Dining Area,Hot Water,24-hour Electricity,Balcony",0,5.6376136,-0.1266064,11,Unfurnished,6500,8.77971129020447
Detached,3.0,3.0,100.0,Used,"24-hour Electricity,Air Conditioning,Chandelier,Dining Area,Dishwasher,Hot Water,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Pre-Paid Meter,Tiled Floor,Wardrobe",0,5.6274508,-0.0872742,12,Unfurnished,8000,8.987321812850125
Detached,4.0,5.0,111.0,New,"Tiled Floor,Kitchen Cabinets,Air Conditioning,Pop Ceiling,24-hour Electricity,Pre-Paid Meter,Wardrobe",0,5.6376136,-0.1266064,7,Unfurnished,20050,9.906034306802704
Flats,1.0,2.0,1000.0,Used,"Apartment,Air Conditioning,24-hour Electricity,Kitchen Shelf,Pop Ceiling,Kitchen Cabinets,Pre-Paid Meter,Tiled Floor",0,5.6358281,-0.1613592,8,Unfurnished,3500,8.160803920954665
Detached,4.0,5.0,150.0,New,"24-hour Electricity,Air Conditioning,Apartment,Balcony,Chandelier,Dining Area,Dishwasher,Hot Water,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Microwave,Pre-Paid Meter,Refrigerator,Tiled Floor,Wardrobe",0,5.6358281,-0.1613592,16,Furnished,26486,10.184409325569693
Flats,2.0,1.0,800.0,Used,"Kitchen Shelf,Apartment,Pop Ceiling,24-hour Electricity,Tiled Floor,Balcony,Pre-Paid Meter,Dining Area,Kitchen Cabinets",0,6.6932173,-1.627507,9,Furnished,500,6.2166061010848646
Detached,2.0,2.0,20.0,Used,"24-hour Electricity,Air Conditioning,Kitchen Shelf,Pop Ceiling,Refrigerator,Tiled Floor",0,5.5459415,-0.2103988,6,Unfurnished,2000,7.601402334583733
Flats,2.0,2.0,2218.0,New,"Air Conditioning,Pop Ceiling",0,5.6312394,-0.1422768,2,Unfurnished,2700,7.901377353792616
Flats,1.0,1.0,35.0,Used,"24-hour Electricity,Air Conditioning,Apartment,Balcony,Chandelier,Dining Area,Dishwasher,Kitchen Cabinets,Kitchen Shelf,Microwave,Pop Ceiling,Pre-Paid Meter,Refrigerator,Tiled Floor,TV,Wardrobe",0,5.7141674,-0.15418,16,Furnished,3000,8.006700845440367
Flats,2.0,2.0,250.0,New,"24-hour Electricity,Apartment,Balcony,Dining Area,Hot Water,Kitchen Cabinets,Pop Ceiling,Tiled Floor",0,5.7141674,-0.15418,8,Unfurnished,2300,7.741099090035366
Flats,1.0,1.0,18.0,Used,"24-hour Electricity,Air Conditioning,Apartment,Kitchen Cabinets,Kitchen Shelf,Pre-Paid Meter,Tiled Floor",0,6.131398799999999,-0.3183792,7,Unfurnished,500,6.2166061010848646
Flats,1.0,1.0,4999.0,New,"24-hour Electricity,Apartment,Kitchen Cabinets,Pre-Paid Meter,Dishwasher,Kitchen Shelf,Pop Ceiling,Tiled Floor,Balcony",0,5.6376136,-0.1266064,9,Unfurnished,700,6.55250788703459
Flats,2.0,3.0,126.0,New,"Air Conditioning,24-hour Electricity,Apartment,Wardrobe,Pop Ceiling,Balcony,Pre-Paid Meter,Dining Area,Tiled Floor,Chandelier,Kitchen Cabinets,Kitchen Shelf,Hot Water",0,5.6274508,-0.0872742,13,Unfurnished,3000,8.006700845440367
Flats,1.0,1.0,200.0,New,"24-hour Electricity,Pre-Paid Meter,Tiled Floor",0,5.6510376,-0.1354586,3,Unfurnished,2200,7.696667081526462
Detached,3.0,3.0,111.0,Used,"Kitchen Shelf,24-hour Electricity,Pre-Paid Meter,Tiled Floor,Pop Ceiling,Air Conditioning,Kitchen Cabinets",0,5.6376136,-0.1266064,7,Unfurnished,8000,8.987321812850125
Flats,3.0,3.0,700.0,Used,"Apartment,Pop Ceiling,Kitchen Cabinets,Balcony,Tiled Floor,Wardrobe",0,5.5459415,-0.2103988,6,Furnished,9000,9.105090961257085
Flats,3.0,3.0,210.0,Used,"24-hour Electricity,Air Conditioning,Apartment,Balcony,Chandelier,Dining Area,Dishwasher,Hot Water,Kitchen Cabinets,Kitchen Shelf,Microwave,Pop Ceiling,Pre-Paid Meter,Refrigerator,Tiled Floor,TV,Wardrobe,Wi-Fi",0,5.606104699999999,-0.1860362,18,Furnished,49500,10.809748150372926
Detached,3.0,2.0,18.0,Used,"24-hour Electricity,Balcony,Dining Area,Dishwasher,Kitchen Cabinets,Pop Ceiling,Pre-Paid Meter,Tiled Floor",0,5.618390000000001,-0.1035441,8,Semi-Furnished,2500,7.824445930877619
Flats,2.0,3.0,200.0,New,"24-hour Electricity,Air Conditioning,Apartment,Dining Area,Kitchen Cabinets,Pop Ceiling,Pre-Paid Meter,Tiled Floor,Wardrobe",0,5.6802129,-0.1372479,9,Semi-Furnished,3500,8.160803920954665
Detached,4.0,4.0,800.0,New,"24-hour Electricity,Air Conditioning,Balcony,Chandelier,Dining Area,Dishwasher,Hot Water,Kitchen Cabinets,Kitchen Shelf,Microwave,Pop Ceiling,Pre-Paid Meter,Refrigerator,Tiled Floor,Wardrobe",0,5.6358281,-0.1613592,15,Semi-Furnished,36000,10.491301994830229
