bhk,type,locality,area,region,status,age,price_cr,price_per_sqft,area_scaled,price_per_sqft_scaled
2,0,Reputed Builder Panch Smruti,950,Powai,0,1,1.59,16736.842105263157,0.19224428087133003,0.40924614711961377
2,0,Risland Risland The Icon,593,Thane West,1,0,1.29,21753.794266441822,-0.8234255562054233,1.1119716973818665
2,0,Unique Ivana,1090,Mira Road East,1,0,0.9689,8888.990825688074,0.5905461777641745,-0.6900040413693423
2,0,Ravi Gaurav Excellency,1065,Mira Road East,0,1,0.9,8450.704225352112,0.5194208390333094,-0.7513949381725722
2,0,Strawberry The Address Building No 2,1095,Mira Road East,0,0,0.9205,8406.392694063927,0.6047712455103474,-0.7576016637316489
2,0,Piramal Revanta Tower 3,660,Mulund West,1,0,1.75,26515.151515151516,-0.632809648406705,1.7788960141982748
2,0,Platinum Experio,1225,Kalamboli,1,0,0.925,7551.0204081632655,0.9746230069108459,-0.8774138407222711
2,0,Jyoti Developers Meadow,715,Andheri East,0,1,1.65,23076.923076923078,-0.47633390319880176,1.2973026296973218
2,0,Avinash Builders Avinash Tower,900,Andheri West,0,2,2.35,26111.11111111111,0.04999360340959985,1.7223019893529647
2,0,Swaroop Marvel Gold Phase II Colloseum,692,Bhandup West,1,0,1.2,17341.040462427747,-0.5417692148311977,0.4938763387908625
2,0,Tata Aveza,1564,Mulund West,0,2,1.5,9590.79283887468,1.9390826001013763,-0.5917024849566835
2,0,Satyam The Regents park,1050,Taloja,1,0,0.7,6666.666666666667,0.47674563579479035,-1.0012854563275664
2,0,Reputed Builder Sai Gaurav,1120,Kalyan West,0,2,0.85,7589.285714285715,0.6758965842412126,-0.8720540112008882
2,0,Runwal Bliss,1024,Kanjurmarg,1,0,1.5,14648.4375,0.40277528351469066,0.11672287237924092
2,0,Pawan Stotra,1250,Kalyan West,0,2,0.8,6400.0,1.045748345641711,-1.038637512725471
2,0,Reputed Builder usha nagar,830,Bhandup West,0,1,1.2,14457.831325301206,-0.14915734503682238,0.0900246251774727
2,0,Sunteck Signia Waterfront,1050,Airoli,1,0,1.8,17142.85714285714,0.47674563579479035,0.46611675930439306
2,0,Dynamix Divum,788,Goregaon East,1,0,1.84,23350.253807106597,-0.2686479141046757,1.3355881228814288
2,0,S M Olive Paradise,995,Taloja,0,0,0.56,5628.140703517589,0.32026989058688715,-1.1467520076259379
2,0,Patel Jainam Residency,1061,Ambernath East,0,2,0.39,3675.7775683317623,0.5080407848363709,-1.4202199248808771
2,0,Tridhaatu Aum,825,Chembur,1,0,2.22,26909.090909090915,-0.1633824127829954,1.8340751884224524
2,0,Mahaavir Exotique Phase I,834,Taloja,1,2,0.68,8153.477218225421,-0.13777729083988396,-0.793027587921984
2,0,Ravi Gaurav Garden I,600,Kandivali West,0,1,0.9,15000.0,-0.8035104613607812,0.16596630610694696
2,0,Raj Akshay,955,Mira Road East,0,0,0.9691,10147.643979057591,0.20646934861750305,-0.513704227981623
2,0,Kolte Patil Verve,1050,Goregaon West,1,0,2.45,23333.333333333332,0.47674563579479035,1.3332180685414603
2,0,Godrej The Highlands Godrej City,855,Panvel,1,0,0.85,9941.520467836257,-0.0780320063059573,-0.5425759917918981
2,0,Marathon Nextown,808,Dombivali,0,0,0.5585,6912.1287128712875,-0.21174764311998365,-0.9669035356023914
2,0,Godrej Urban Park,1156,Powai,1,0,1.84,15916.955017301038,0.7783170720136583,0.29440438930908364
2,0,Wadhwa Atmosphere Phase 1,809,Mulund West,1,0,1.66,20519.159456118665,-0.20890262957074904,0.9390361383843416
2,0,Regency Anantam,1200,Dombivali,1,0,0.6489,5407.5,0.9034976681799809,-1.1776571976314214
2,0,Saptashree Heights,1100,Thane West,0,1,1.3,11818.181818181818,0.6189963132565205,-0.2797116395498673
2,0,A Surti Universal Cubical,689,Jogeshwari West,0,0,1.5,21770.68214804064,-0.5503042554789015,1.114337186529067
2,0,Sanghvi Ecocity,1055,Mira Road East,1,0,0.875,8293.838862559242,0.49097070354096334,-0.7733671027147611
2,0,Lodha Palava Golden Tomorrow,785,Dombivali,0,0,0.5499,7005.095541401275,-0.27718295475237953,-0.9538816522684423
2,0,Om Sai Nandadeep,1010,Chembur,1,0,2.15,21287.128712871287,0.36294509382540624,1.0466057545971441
2,0,Rustomjee Urbania Azziano,1054,Thane West,0,2,1.0,9487.666034155598,0.4881256899917288,-0.6061474783041941
2,0,GHP Sonnet,1090,Kharghar,0,2,1.1,10091.743119266055,0.5905461777641745,-0.521534273235216
2,0,Sanket Solitaire Aawas,721,Chembur,1,0,1.62,22468.793342579753,-0.45926382190339415,1.2121217691931923
2,0,Piramal Revanta,618,Mulund West,1,0,1.35,21844.660194174758,-0.7523002174745583,1.1246993070968483
2,0,Mayfair Legends,1100,Malad West,0,1,1.8,16363.636363636364,0.6189963132565205,0.3569711399598674
2,0,Raj Tulsi City,930,Mulund West,0,1,0.3,3225.8064516129034,0.13534400988663794,-1.483247474365043
2,0,L And T Elixir Reserve,1050,Powai,1,0,2.35,22380.95238095238,0.47674563579479035,1.1998178671203732
2,0,Mahindra Happinest Kalyan Project A,780,Kalyan West,1,2,0.49,6282.051282051282,-0.2914080224985525,-1.0551586145937748
2,0,Shree Shakun Greens,940,Virar,0,1,0.39,4148.936170212766,0.16379414537898399,-1.353944499446079
2,0,Niyati Kirans Shree Smaran,850,Thane West,0,1,0.89,10470.588235294117,-0.09225707405213031,-0.46846935771040044
2,0,Mohan Suburbia IV,987,Ambernath West,0,2,0.52,5268.490374873353,0.29750978219301033,-1.1971283052223542
2,0,Dynamic Crest Phase I Rimo Everest,511,Dombivali,1,0,0.6548999999999999,12816.046966731896,-1.056716667242661,-0.1399404571518206
2,0,Raj Heritage,1107,Mira Road East,0,0,0.9876999999999999,8922.312556458897,0.6389114081011628,-0.6853366594929888
2,0,Sunteck City Avenue 1,1400,Goregaon West,1,0,2.35,16785.714285714286,1.4725003780269015,0.41609168377148564
2,0,Patil Divine Heights,885,Diva,1,0,0.46,5197.74011299435,0.007318400171080802,-1.2070383093668706
2,0,HDIL Residency Park,710,Virar,0,1,0.3599,5069.014084507042,-0.49055897094497475,-1.2250689914016313
2,0,Raj Akshay,1071,Mira Road East,0,0,0.885,8263.305322128852,0.536490920328717,-0.7776439421804496
2,0,Sheth Avalon,1250,Thane West,0,2,1.75,14000.0,1.045748345641711,0.02589609461480534
2,0,Supreme Lake Primrose,1050,Powai,0,1,2.0,19047.619047619046,0.47674563579479035,0.7329171621465675
2,0,Om Prabhu Manohar CHS,1145,Seawoods,0,1,1.45,12663.755458515283,0.7470219229720777,-0.1612719609161788
2,0,DSS Mahavir Millennium,1025,Thane West,0,2,1.25,12195.121951219513,0.4056202970639253,-0.22691355539540137
2,0,Arihant Advika,1275,Vashi,1,2,1.9,14901.960784313726,1.1168736843725762,0.1522339324312468
2,0,Techno Vision Vivanta Marvel,1050,Mira Road East,0,0,0.9423,8974.285714285714,0.47674563579479035,-0.6780567682842722
2,0,SD Epsilon,906,Kandivali East,1,2,2.16,23841.059602649006,0.06706368470500747,1.4043353944646226
2,0,Advance Heights,1130,Kharghar,0,1,0.95,8407.079646017699,0.7043467197335586,-0.7575054422261991
2,0,Haware Altura,650,Vikhroli,1,1,1.1,16923.076923076922,-0.6612597838990509,0.43533209743798834
2,0,Runwal Gardens,507,Dombivali,1,0,0.5359,10570.019723865878,-1.0680967214395993,-0.4545419680771754
2,0,Paradise Sai Crystals,1250,Kharghar,0,1,1.4,11200.0,1.045748345641711,-0.36630049756319116
2,0,Hiranandani Meadows,1000,Thane West,0,2,1.65,16500.0,0.3344949583330602,0.37607162334515937
2,0,SCGK Royal Castle,877,Ambernath East,1,0,0.319,3637.400228050171,-0.015441708222796023,-1.4255954470506258
2,0,Rustomjee Urbania Azziano Wing E,647,Thane West,1,0,1.58,24420.401854714066,-0.6697948245467548,1.4854839862377094
2,0,Agarwal Paramount,492,Virar,1,0,0.4972,10105.69105691057,-1.1107719246781182,-0.5195805826594697
2,0,Ashish Garden Estates,900,Goregaon West,0,1,2.1,23333.333333333332,0.04999360340959985,1.3332180685414603
2,0,Today Ganesham,1180,Ulwe,0,1,0.95,8050.847457627118,0.8465973971952888,-0.8074029601943762
2,0,Sheth Montana,930,Mulund West,1,0,1.38,14838.709677419352,0.13534400988663794,0.1433743365114399
2,0,Risland And Siddhi Risland The Icon Phase 1,562,Thane West,1,0,1.0,17793.59430604982,-0.911620976231696,0.557265651378588
2,0,Lodha Codename Crown Jewel,672,Thane West,1,0,1.08,16071.42857142857,-0.5986694858158897,0.31604153270567
2,0,Ahuja Oceanic,1090,Kandivali West,0,1,1.35,12385.321100917432,0.5905461777641745,-0.20027232027158834
2,0,Umiya Oasis,670,Mira Road East,0,0,0.8,11940.298507462687,-0.6043595129143589,-0.26260672905557586
2,0,Raheja Ridgewood,1280,Goregaon East,0,1,2.3,17968.75,1.131098752118749,0.5817997464742424
2,0,Kalpataru Hills,1065,Thane West,0,2,1.15,10798.122065727699,0.5194208390333094,-0.42259162481073737
2,0,Vasant Vasant Vihar,1000,Thane West,0,2,1.35,13500.0,0.3344949583330602,-0.04413901113126547
2,0,Lodha Casa Bella Gold,980,Dombivali,0,1,0.5451,5562.244897959184,0.2775946873483681,-1.1559820470469488
2,0,Lakhani Empire Towers,1278,Thane West,1,0,2.11,16510.17214397496,1.12540872502028,0.3774964377030605
2,0,Arkade Earth Wing Ebony,1019,Kanjurmarg,1,2,1.5,14720.314033366045,0.38855021576851767,0.1267906336091448
2,0,Jainam Mit Niketan,950,Kandivali East,0,2,1.5,15789.473684210527,0.19224428087133003,0.27654805202179567
2,0,Lodha Splendora,1206,Thane West,0,0,1.54,12769.485903814262,0.9205677494753884,-0.14646227508199244
2,0,Neelam Solstice Phase I,1100,Ghatkopar East,0,0,2.11,19181.81818181818,0.6189963132565205,0.7517144632559025
2,0,Salasar Exotica I,1050,Mira Road East,1,0,0.92,8761.904761904761,0.47674563579479035,-0.7078050132011746
2,0,Sunteck City 4th Avenue,646,Goregaon West,1,0,1.47,22755.417956656347,-0.6726398380959894,1.2522693395057543
2,0,Piramal Vaikunth Cluster 1,1713,Thane West,1,2,1.71,9982.486865148861,2.3629896189373323,-0.5368378198562505
2,0,Lodha Crown,500,Thane West,1,0,0.97,19400.0,-1.0880118162842414,0.7822752366723701
2,0,Patil Divine Heights,910,Diva,1,0,0.45,4945.054945054945,0.07844373890194589,-1.2424319742810706
2,0,Veeramani Rediant 59,668,Andheri East,1,0,1.53,22904.191616766468,-0.6100495400128281,1.2731080975418387
2,0,DB Ozone,740,Dahisar,0,1,0.85,11486.486486486487,-0.4052085644679367,-0.32617227481138844
2,0,Neelkanth Sunberry,1110,Ghansoli,0,0,1.58,14234.234234234234,0.6474464487488666,0.0587053333426944
2,0,Sai Tharwani Riviera,1000,Kharghar,0,1,1.18,11800.0,0.3344949583330602,-0.2822583706679062
2,0,L And T 77 Crossroads,689,Ghatkopar East,1,0,1.34,19448.476052249636,-0.5503042554789015,0.7890652875632808
2,0,Shree Shakun Heights,876,Goregaon East,0,1,1.8,20547.945205479453,-0.018286721772030626,0.943068164385267
2,0,Rameshwar Sanghvi One,810,Ghatkopar West,1,0,1.3,16049.382716049382,-0.20605761602151446,0.3129535650801819
2,0,Shapoorji Pallonji Omega Northern Lights,551,Thane West,1,0,1.23,22323.04900181488,-0.9429161252732767,1.1917073285584738
2,0,Raymond Raymond Realty TenX Habitat,668,Thane West,1,0,1.58,23652.694610778442,-0.6100495400128281,1.3779510702155973
2,0,Amar Vinay Heritage,566,Mira Road East,1,0,0.7735,13666.077738515902,-0.9002409220347577,-0.02087646717320652
2,0,Kalpataru Srishti Namaah,596,Mira Road East,0,1,1.06,17785.234899328858,-0.8148905155577195,0.5560947475112339
2,0,Kalpataru Immensa,663,Thane West,1,0,1.37,20663.650075414786,-0.6242746077590011,0.9592749699877797
2,0,Space Residency,900,Mira Road East,1,0,0.83,9222.222222222223,0.04999360340959985,-0.6433282491809823
2,0,Allure 36 Allure,899,Goregaon West,1,0,1.55,17241.379310344826,0.04714858986036525,0.47991678014105726
2,0,JP Codename Dream Home Tower C,1010,Mira Road East,0,0,0.835,8267.326732673268,0.36294509382540624,-0.7770806623549965
2,0,Haware Haware Citi,902,Thane West,0,1,0.63,6984.4789356984475,0.05568363050806906,-0.9567694245894875
2,0,Amisha Empire Phase I,1010,Mira Road East,0,0,0.98,9702.970297029702,0.36294509382540624,-0.5759897646682588
2,0,Cosmos Horizon,850,Thane West,0,2,1.3,15294.117647058823,-0.09225707405213031,0.20716342713404742
2,0,Abhyudaya Star Right Heights,511,Vikhroli,1,0,0.78,15264.187866927594,-1.056716667242661,0.2029711565011528
2,0,Thakar Sunspire Vishnu,680,Dahisar,1,0,1.19,17500.0,-0.5759093774220129,0.516141834837301
2,0,SD Siennaa Wing B,563,Kandivali East,1,2,1.63,28952.04262877442,-0.9087759626824614,2.1202318678667553
2,0,Lodha Codename Premier,1180,Dombivali,0,0,0.625,5296.610169491525,0.8465973971952888,-1.1931895596430713
2,0,Spenta Altavista Phase 1,900,Chembur,0,1,1.65,18333.333333333332,0.04999360340959985,0.6328670110807522
2,0, Lords,960,Bhandup West,0,2,1.25,13020.833333333334,0.22069441636367604,-0.1112559874712499
2,0,Bhoomi Ekta Garden Phase III,1315,Borivali East,0,2,1.85,14068.441064638784,1.2306742263419603,0.03548264901350717
2,0,Runwal Bliss Wing B,663,Kanjurmarg,1,2,1.74,26244.343891402714,-0.6242746077590011,1.7409639330660958
2,0,Wadhwa Atmosphere O2,623,Mulund West,1,0,1.73,27768.860353130018,-0.7380751497283853,1.9545032762834906
2,0,Mahajan Aashray Aanand,685,Ambernath East,0,0,0.26,3795.6204379562046,-0.5616843096758398,-1.4034335087867567
2,0,Swaminarayan City,521,Dombivali,1,2,0.4,7677.543186180423,-1.0282665317503148,-0.8596917684468347
2,0,Marathon Nexzone Altis 2,1012,Panvel,0,1,0.76,7509.881422924901,0.3686351209238754,-0.883176187085181
2,0,B and M Atlantis,1240,Ghansoli,0,1,1.67,13467.741935483871,1.017298210149365,-0.04865740505036678
2,0,Lodha Codename Premier,1029,Dombivali,0,0,0.58,5636.540330417882,0.41700035126086366,-1.1455754701095588
2,0,Kesar Gardens,1005,Kharghar,0,1,1.12,11144.278606965176,0.3487200260792332,-0.37410540487021576
2,0,Paradigm 71 Midtown,710,Chembur,1,0,1.35,19014.084507042255,-0.49055897094497475,0.7282199719556846
2,0,UCC Adityaraj Star,600,Ghatkopar East,1,0,1.1,18333.333333333332,-0.8035104613607812,0.6328670110807522
2,0,Sheth Montana,975,Mulund West,0,0,1.67,17128.20512820513,0.2633696196021951,0.4640644485132997
2,0,HDIL Dheeraj Jamuna,850,Malad West,0,1,1.45,17058.823529411766,-0.09225707405213031,0.45434615329665046
2,0,Parshv Glory,481,Palghar,0,0,0.1938,4029.106029106029,-1.142067073719699,-1.370729132654033
2,0,Happy Home Sarvoday Greens Phase 2 Tower No 2,750,Bhiwandi,1,0,0.489,6520.0,-0.37675842897559064,-1.021829087346414
2,0,Reputed Builder Ravi Estate,1704,Thane West,0,2,1.35,7922.5352112676055,2.337384496994221,-0.825375683678985
2,0,Cosmos Horizone Phase II,1148,Thane West,1,2,1.28,11149.825783972125,0.7555569636197814,-0.3733284106136681
2,0,Risland Risland The Icon,1043,Thane West,1,0,1.05,10067.114093959732,0.45683054095014813,-0.524984066018718
2,0,Mayfair The View,1030,Vikhroli,1,0,1.78,17281.55339805825,0.41984536481009826,0.4855439731035806
2,0,Lodha Amara Tower 26 27 28 30 34 35,950,Thane West,0,1,1.03,10842.105263157895,0.19224428087133003,-0.4164308890445892
2,0,Chheda Anant Apurva,890,Mira Road East,0,1,0.8,8988.76404494382,0.021543467917253818,-0.676028785446938
2,0,Vaibhavlaxmi East Syde,541,Ghatkopar East,1,0,1.13,20887.245841035117,-0.9713662607656227,0.9905940761669669
2,0,Godrej Ascend,522,Thane East,1,0,1.01,19348.659003831417,-1.0254215182010802,0.7750838924808194
2,0,Kanakia Paris,1412,Bandra Kurla Complex,0,2,3.25,23016.99716713881,1.5066405406177168,1.28890879483998
2,0,JP North Barcelona,485,Mira Road East,1,0,0.84,17319.58762886598,-1.1306870195227605,0.49087143585675985
2,0,ACME Ozone Phase 2,1065,Thane West,0,2,1.15,10798.122065727699,0.5194208390333094,-0.42259162481073737
2,0,Chamunda Kesar Paradise,1250,Nerul,0,1,1.8,14400.0,1.045748345641711,0.08192417921166198
2,0,Gurukrupa Nigam,800,Ghatkopar East,1,0,1.5,18750.0,-0.23450775151386047,0.6912295992024781
2,0,Rustomjee Uptown Urbania,1010,Thane West,1,0,1.15,11386.138613861385,0.36294509382540624,-0.34022802255277285
2,0,Shiv Shakti Builders Tower 28,850,Malad East,1,0,1.37,16117.647058823532,-0.09225707405213031,0.3225153660099291
2,0,RNA NG N G Hill Crest,1026,Mira Road East,0,0,0.77,7504.873294346979,0.4084653106131599,-0.8838776767142704
2,0,Runwal Avenue,571,Kanjurmarg,1,0,1.7,29772.3292469352,-0.8860158542885846,2.2351295879567097
2,0,Nirmitee Sagar Darshan CHSL,700,Borivali East,0,0,1.81,25857.14285714286,-0.5190091064373208,1.6867286023073418
2,0,Space Residency,795,Mira Road East,1,0,0.97,12201.25786163522,-0.2487328192600335,-0.22605409712577643
2,0,Runwal My City,1137,Dombivali,0,0,0.652,5734.38874230431,0.7242618145782008,-1.1318698223624566
2,0,Gurukrupa Marina Enclave,1150,Malad West,0,1,1.38,11999.999999999998,0.7612469907182506,-0.25424432836947813
2,0,Spenta Altavista Phase 4,673,Chembur,1,0,1.61,23922.734026745915,-0.5958244722666551,1.4157755483213756
2,0,Hemani Login,1016,Kandivali West,0,2,2.1,20669.291338582676,0.38001517512081384,0.960065142912789
2,0,MICL Aaradhya Highpark Project 2 Of Phase I,1050,Mira Road East,1,0,1.06,10095.238095238095,0.47674563579479035,-0.5210447312116524
2,0,STG Signature Residency,1120,Thane West,0,2,1.48,13214.285714285714,0.6758965842412126,-0.08415907155759171
2,0,Sheth Vasant leela,988,Thane West,0,1,0.79,7995.951417004048,0.30035479574224494,-0.8150922602145307
2,0,JP JP North Phase 5 Euphoria,536,Mira Road East,1,0,0.78,14552.23880597015,-0.9855913285117958,0.10324830096121197
2,0,Lodha Elisium,1377,Wadala,0,1,2.65,19244.73493100944,1.4070650663945057,0.7605272256215203
2,0,Khandelwal Luxor Wing B,595,Borivali West,1,0,1.39,23361.344537815123,-0.8177355291069541,1.3371416038773742
2,0,Monarch Shree Datta Digamber CHSL,771,Borivali West,1,2,1.6,20752.269779507133,-0.31701314444166395,0.9716879506823658
2,0,MICL Aradhya D And E Tower,720,Bhayandar East,1,0,0.97,13472.222222222223,-0.46210883545262876,-0.04802985033938046
2,0,Royal Palms Garden View,800,Goregaon East,0,1,0.65,8125.0,-0.23450775151386047,-0.7970163979015267
2,0,Ornate Galaxy Phase I,850,Naigaon East,0,0,0.48,5647.058823529412,-0.09225707405213031,-1.144102142554848
2,0,Crescent Sky Heights,764,Dahisar,0,1,1.23,16099.476439790576,-0.3369282392863062,0.31997020355903993
2,0,Runwal Greens,1000,Mulund West,0,1,2.15,21500.0,0.3344949583330602,1.0764226808058674
2,0,Siddhi Highland Gardens,884,Thane West,0,1,1.18,13348.41628959276,0.0044733866218462,-0.0653713735067711
2,0,Kanakia Pixel,765,Powai,1,2,1.9,24836.601307189543,-0.3340832257370716,1.543781131568863
2,0,Siddhi Highland Haven,649,Thane West,0,1,1.04,16024.653312788905,-0.6641047974482855,0.30948971233541245
2,0,Kanakia Rainforest,790,Andheri East,0,1,1.85,23417.721518987342,-0.26295788700620654,1.3450383395534555
2,0,Man Opus,1000,Mira Road East,0,1,0.85,8500.0,0.3344949583330602,-0.7444900685919735
2,0,Ruparel Mumbai XL,1072,Kandivali West,1,0,1.47,13712.686567164179,0.5393359338779516,-0.014347958687041334
2,0,Runwal Forest Tower 1 To 4,1050,Kanjurmarg,0,1,1.62,15428.571428571431,0.47674563579479035,0.2259963967464366
2,0,Bhairaav Goldcrest Residency Phase 2,1050,Ghansoli,1,0,1.38,13142.857142857141,0.47674563579479035,-0.0941640866641734
2,0,Indiabulls Park,1120,Panvel,1,0,0.595,5312.5,0.6758965842412126,-1.1909638677231749
2,0,Shapoorji Pallonji Northern Lights,618,Thane West,1,0,1.48,23948.22006472492,-0.7523002174745583,1.4193453830511915
2,0,Arihant Aspire Phase I,920,Panvel,1,0,0.96,10434.782608695652,0.10689387439429192,-0.4734846594006561
2,0,Raviraj Spring,1050,Mira Road East,0,0,1.02,9714.285714285714,0.47674563579479035,-0.5744048117800874
2,0,Runwal Lily at Runwal Forest,795,Kanjurmarg,0,1,1.65,20754.716981132075,-0.2487328192600335,0.9720307307315353
2,0,Monarch Cosmos Enclave Chestnut,900,Thane West,0,0,0.95,10555.555555555555,0.04999360340959985,-0.4565679671914603
2,0,Reputed Builder JINAY APARTMENT,850,Kandivali West,0,1,1.55,18235.29411764706,-0.09225707405213031,0.6191346374050523
2,0,Sai Shrushti Heights,890,Shil Phata,1,1,0.48,5393.258426966292,0.021543467917253818,-1.179652017778234
2,0,Lodha New Cuffe Parade Lodha Altia,955,Wadala,0,1,2.9,30366.49214659686,0.20646934861750305,2.318354110973102
2,0,Lodha The Park Town Houses,1450,Lower Parel,0,1,4.15,28620.689655172413,1.6147510554886317,2.0738191867757725
2,0,Haware Altura,650,Vikhroli,1,1,1.1,16923.076923076922,-0.6612597838990509,0.43533209743798834
2,0,Lodha Casa Rio,774,Dombivali,0,1,0.43,5555.555555555556,-0.3084781037939602,-1.1569190246521683
2,0,Hetal Infra Riddhi Siddhi,1020,Mira Road East,1,1,0.85,8333.333333333334,0.3913952293177522,-0.7678351038406638
2,0,L And T Veridian at Emerald Isle 14A and 14B,811,Powai,1,2,1.7,20961.775585696672,-0.20321260247227985,1.0010334732641664
2,0,Paradise Sai Suncity Phase 1,654,Taloja,1,2,0.55,8409.785932721712,-0.6498797297021126,-0.7571263720752096
2,0,JK IRIS Tower 1 And 2,1137,Mira Road East,0,0,0.92,8091.468777484609,0.7242618145782008,-0.8017131233308475
2,0,Namo Atmaram CHSL,500,Borivali West,0,2,1.0,20000.0,-1.0880118162842414,0.866317363567655
2,0,Rustomjee Virar Avenue L1 L2 And L4 Wing E And F,472,Virar,1,2,0.48460000000000003,10266.949152542373,-1.1676721956628104,-0.496993127099503
2,0,Dosti Planet North,669,Shil Phata,0,0,0.6617000000000001,9890.88191330344,-0.6072045264635935,-0.5496689448349662
2,0,Unique Signature,650,Mira Road East,0,1,0.85,13076.923076923076,-0.6612597838990509,-0.10339948522409471
2,0,Laxmi Icon,479,Neral,1,2,0.3,6263.048016701461,-1.1477571008181682,-1.0578204059903655
2,0,Lodha Codename Crown Jewel,626,Thane West,1,0,1.0,15974.44089456869,-0.7295401090806815,0.30245644829577506
2,0,Tapovan Aura,1122,Ulwe,0,1,0.9,8021.39037433155,0.6815866113396818,-0.811529020081528
2,0,Divisha Sanskriti Signature,1150,Borivali West,0,0,2.1,18260.869565217392,0.7612469907182506,0.6227169957552349
2,0,The Baya Central,865,Lower Parel,1,0,2.25,26011.56069364162,-0.04958187081361126,1.708357941323882
2,0,Lodha Codename Premier,1180,Dombivali,0,0,0.68,5762.7118644067805,0.8465973971952888,-1.1279025966594458
2,0,Sonam Indradhanush,1175,Mira Road East,1,0,1.0,8510.63829787234,0.8323723294491158,-0.7429999599590785
2,0,Kalpataru Bliss Apartments,950,Santacruz East,0,0,2.3,24210.526315789473,0.19224428087133003,1.4560866751135144
2,0,Vishesh Balaji Symphony,440,Panvel,0,0,0.8595,19534.090909090908,-1.2587126292383177,0.801057378667907
2,0,Goldstar Decent Homes,1060,Mira Road East,0,1,0.78,7358.490566037736,0.5051957712871363,-0.9043815364273426
2,0,Sheth Vasant Oasis Daisy Bldg 18,1362,Andheri East,0,0,2.03,14904.55212922173,1.3643898631559865,0.1525969026605602
2,0,Trishul Patel Heritage,1150,Kharghar,0,1,2.0,17391.304347826088,0.7612469907182506,0.5009168118490248
